NAME                                VERSION                         TYPE                     
tar                                 1.34+dfsg-1.2+deb12u1           deb                      
tar                                 6.2.1                           npm                      
text-table                          0.2.0                           npm                      
tini                                0.19.0-1                        deb                      
tiny-relative-date                  1.3.0                           npm                      
to-regex-range                      5.0.1                           npm                      
toidentifier                        1.0.1                           npm                      
touch                               3.1.1                           npm                      
treeverse                           3.0.0                           npm                      
tuf-js                              2.2.1                           npm                      
type-is                             1.6.18                          npm                      
tzdata                              2025b-0+deb12u1                 deb                      
undefsafe                           2.0.5                           npm                      
unique-filename                     3.0.0                           npm                      
unique-slug                         4.0.0                           npm                      
unpipe                              1.0.0                           npm                      
usr-is-merged                       37~deb12u1                      deb                      
util-deprecate                      1.0.2                           npm                      
util-linux                          2.38.1-5+deb12u3                deb                      
util-linux-extra                    2.38.1-5+deb12u3                deb                      
utils-merge                         1.0.1                           npm                      
validate-npm-package-license        3.0.4                           npm                      
validate-npm-package-name           5.0.1                           npm                      
vary                                1.1.2                           npm                      
walk-up-path                        3.0.1                           npm                      
which                               2.0.2                           npm                      
which                               4.0.0                           npm                      
windows-kill                        UNKNOWN                         binary                   
wrap-ansi                           7.0.0                           npm                      
wrap-ansi                           8.1.0                           npm                      
write-file-atomic                   5.0.1                           npm                      
ws                                  8.11.0                          npm                      
xtend                               4.0.2                           npm                      
yallist                             4.0.0                           npm                      
yarn                                1.22.22                         npm                      
zlib1g                              1:1.2.13.dfsg-1                 deb
